피드백,건수
서비스 신청하는게 좋겠읍니다,1
하나도 도움이 안됨,1
출장 예약 방법에 대해 설명을 요청했는데 직접 홈페이지 가서 알아보라는 답변과 직접 설치 방법에 대한 가이드라인 링크가 제공되어 원하는 답변을 얻지 못함,1
메뉴얼 이네요,1
연결이안됨 ,1
친절홰요~! chat 이름 직접 지어울수 잇으면 좋을텐데...,1
건조기 증상의 해당사항의 데이터가 없음,1
안내 조아요,1
일반 상담사와 상담하는게 더 편해요.,1
출장예약 잘 끝냄,1
상담원 채팅으로 정보 구함,1
안내가 좋았어요,1
"감사 합니다
자세한 내용은
매장 에서
할게요.      감사 해요",1
AI가 만족스러울거라고 생각하는 뇌수준이 안타깝다,1
일단 원하는 내용이 들어있음,1
질문에 대한 답이 부족,1
좋아용,1
이미 인터네넷에 기사화된  '2웨이 스팀' 로봇청소기의 출시일을 모른다고 함...,1
있으나마나 한 AI. LLM 모델 교체 요망.,1
"구독료 어제 카드한도초과로 빠져나가지 않아서 카드요금 선불 로 결제 하였습니다.
몇일있다가  다시 빠져나가나요",1
As자부담이라 예약 취소 합니다,1
상담원과 직접 연결해서 채팅으로 문제 해결 함,1
동영상첨부로 사전에 고장여부를 어느정도 확인할 수 있길 바랍니다. ,1
전화도 안받고 ai는 내말을 이해하지 못함,1
오류 없이 잘 연결함,1
일반적인 수준의 대답,1
물건취소가안되고있어요,1
출장예약이 빠름,1
등록된 건조기 모델 번호로 필터세트 정보 제공 못 해줌,1
Al가 훨씬 편해서 좋아요,1
상담원 연결을 통해 궁금한점 해결,1
서비스 예약을 했으나 아무런 연락이나 대응이 없어요,1
주말이라 연결이 안됌,1
ai가 아니고 단순 조건형 챗봇같음,1
전원 무선 사용 여부를 물었는데 무선 인터넷으로 검색이되네요,1
ㅡ,1
방법은 안내받음,1
문제 해결에 도움을 주는 직원이 한 놈도 연결안됨,1
"제품자체에 한해서맘 유용함. 설치환경,설치비 포함 여부에는 도움이 안됨",1
오해,1
서비스출장 예약메뉴를 바로보여줌,1
문제는 해결된 것은 아니고 결국 담당자 또는 담당부서 연결을 기다려야 하는 상황임. ,1
서지연 프로 칭처합니도,1
오늫중배송가능여부?,1
사람이 상담하는게 훨씬 좋습니다.,1
휴일에는 접속이 안되서 불편했습니다,1
"어제 오늘 통화한 상담사분이 넘 친절하셔셔 이름 알고 싶은데 al가 안 가르켜 줌
여직원분이 성심 서믜껏 잘 해 주셔셔 칭찬글 올리고 싶음",1
잘알려줘서 고마웡,1
"바로 출장 예약하고 싶은데  
너무 복잡해요",1
같은답을 두번이나 보내줌,1
"명확한 답변을 확인하기 어려움.
소통이 원활치 않다고 생각됨",1
상담원 연결 어려움,1
"속도느림, 말을 이해하지 못하지만 정확한 자료를 제공해요",1
"형식적인 답변외에는 별다른 해결은 없습니다
결국 그냥 출장예약을 하였습니다",1
소통이 안 됨,1
이해못한듯,1
너무별로 답답했음,1
ㅇ좋넹,1
전자레인지 소형가전은 출장이 안됌을 미리 고지하지 않아 한참을 내용을 읽다가 나중에 확인함,1
구독 결제 카드 변경했는데도 결제가 안되고 있음 해결해주삼,1
직접 해결 못함,1
절차복잡,1
예약,1
흠,1
조금 비싸ㄴ거같아요,1
굿±,1
오래된 것이라 질운과 맞지 않음,1
건조기  모니터  액정에  오류가있습니다.,1
이전설치 요청 건에 대한 취소를 하고 싶은데 관련 내용에 대한 처리 방법이 안내되어 있지 않습니다. 신청 내역은 조회가 되는데 취소 관련 화면은 안 보입니다,1
그냥,1
그럭저럭 ,1
엉뚱한 대답만 ,1
좀 어려워요,1
믿음이 조금 부족,1
상담사연결안됨,1
내말을 이해못하고 같은말만반복함,1
질문에 응대를 잘 못함,1
ㆍ,1
주문관련 담당 상담사와 직접 진행했는데 상담 잘해주심,1
구체적인 답변을 받지 못했어요,1
연결이 잘 안됨.반복적으로 휴대폰 인증을 하라고 함,1
전부다 좋아,1
… 명확하게 집어내지 못함,1
판매자에 알아보라고 함.,1
빠이,1
도움이되메ㅣ,1
ai가 질문을 이해못함,1
Ai는 잘 응대했지만 아직 고쳐지진않음,1
설명은 자세함,1
직접 안산서비스센터에 제품을 가지고 수리하러 방문하겠습니다.,1
제품 다시 입력,1
모델명FQ18SCNWGN 제품을 못찾음,1
처음 모바일 예약을 했는데요 잘 할줄몰라서 상담원 연결이 바로안돼고 모바일로만 접수요청해서 불편하네요 ,1
"구매상담사 연결로 대화함
매우만족",1
답변에 정확한 증상 확인 후 출장 서비스를 불러야 할 듯 함,1
제품이 없다고 함,1
없어요,1
편리는하나 답답함,1
상담사 연결,1
불만족,1
복사 붙여넣기 심함,1
사이트 접속이 안되 산 노트북의 스팩을 알려달라니까 보유중인 제품을 알려줌,1
딴소리함,1
Zqwqqwwwwww2,1
더 빠른 AS 요청합니다,1
접수하면 기사님 빨리 보내주요 ㅠ,1
제품명을 입력했음에도 제품검색이 아예안됨,1
없다고 함,1
Ai 보다 상담사가 훨 나음,1
"내 말의 의도를 정확히 이해한 건지는 모르겠으나, 내가 알고 싶은 정보는 제공해줌",1
김치냉장고가 고장나서 서비스 예약하려고 합니다,1
고장 증상과 모델명 알려줬으나 티비가 아닌 냉장고 관련 상품 소개를 함,1
빠르게안내,1
구매담당자 채팅으로 문의 진행,1
잘 이해하고 정확한 답변에 만족합,1
문제해결 상황에 대한 답변은 없이 접수상황만 보여줌,1
그냥 쓰레기급 이해 전혀 못 함,1
제대로 이해 못함,1
이해못함,1
항목이 다양하지않음,1
30평형 아파트에 적당한 크기의 tv,1
